views
3
0
1
0
2
0
3
0
4
11
0
1
0
1
4
1
0
3
1
27
8
0
0
7
2
0
0
0
0
8
11
4
2
0
15
3
21
1
0
0
4
0
2
1
0
3
0
0
23
2
51
4
0
3
0
0
0
2
5
21
2
0
0
0
1
1
1
0
0
6
11
2
0
37
1
0
0
1
0
0
0
4
0
0
1
22
116
0
10
4
0
0
1
0
6
0
15
0
1
0
4
4
56
6
0
2
6
154
0
0
0
1
0
7
0
2
3
1
40
0
0
9
0
17
8
3
0
0
7
26
1
216
4
1
5
0
209
3
3
8
8
0
3
1
0
4
0
2
3
1
0
20
1
2
9
27
0
4
1
6
3
66
0
0
3
0
0
1
0
6
1
25
5
1
3
2
0
0
15
0
1
4
0
1
22
0
0
0
0
0
0
0
1
1
0
3
1
3
0
2
1
26
0
0
4
0
0
56
0
10
0
3
4
0
1
0
58
1
1
0
12
8
0
0
3
3
2
4
0
4
0
77
42
2
18
2
1
0
0
1
1
0
1
2
0
7
2
22
0
1
0
11
0
6
1
0
0
0
0
7
1
1
0
0
0
136
0
0
5
0
0
0
22
2
0
115
1
2
21
0
2
0
0
1
4
2
1
23
6
0
0
10
9
7
0
12
9
9
282
0
2
23
2
137
6
6
1
1
444
0
0
3
4
6
11
0
2
1
13
0
12
2
12
0
187
4
2
2
3
1
0
0
8
1
11
21
16
0
0
11
3
4
205
3
1
0
6
9
0
3
2
0
0
4
4
1
4
3
2
0
1
1
0
0
0
6
4
1
0
0
0
2
1
72
3
1
8
4
2
6
1
3
443
3
1
0
0
0
0
1
0
29
6
2
3
11
0
2
0
1
4
7
3
2
2
2
1
2
0
0
1
0
13
4
2
0
0
0
0
0
7
1
0
0
2
2
0
22
1
7
0
276
1
1
3
0
5
31
30
4
1
0
3
74
0
0
0
0
0
0
0
43
0
0
0
33
0
6
2
0
18
0
24
0
0
8
0
0
1
14
56
0
124
5
13
1
1
0
5
4
1
0
0
3
0
0
0
0
9
5
14
1
4
0
0
79
0
0
1
0
0
157
0
1
5
2
8
27
2
0
0
3
0
1
1
4
15
0
1
55
0
5
18
2
0
1
0
0
0
6
1
7
4
0
7
0
0
1
0
0
0
1
1
0
1
15
4
3
5
7
11
314
3
12
0
1
1
0
12
0
1
0
23
0
1
0
1
3
3
1
0
1
0
0
87
7
2
38
4
0
3
2
0
1
5
0
13
4
1
6
10
4
234
27
0
3
0
4
10
0
0
0
0
3
1
78
0
3
21
19
2
11
0
9
0
0
0
12
4
0
11
186
0
54
6
2
3
4
9
1
2
0
68
0
0
542
22
0
2
21
3
99
4
2
3
0
0
4
0
7
0
0
1
2
0
5
0
1
1
34
0
4
1
2
0
2
3
16
4
6
1
57
1
148
13
11
0
4
107
0
5
3
0
7
3
7
293
0
2
17
0
0
0
2
2
1
1
0
6
1
5
0
1
2
11
0
0
0
0
0
3
0
1
13
2
0
27
1
13
0
0
4
1
0
0
24
1
0
20
0
0
13
3
1
1
0
9
16
0
0
13
258
1
0
0
5
0
4
3
2
3
1
2
4
0
6
1
1
1
0
2
0
2
0
0
0
6
43
8
0
3
4
0
0
22
14
2
2
11
2
0
0
0
0
0
1
2
0
7
0
26
0
2
2
17
0
0
0
0
1
14
10
2
3
14
0
12
9
5
1
2
0
0
3
0
0
2
0
9
1
20
74
26
0
57
0
5
1
0
0
1
1
0
0
10
10
0
1
0
2
3
0
1
0
7
0
0
2
0
53
49
0
0
7
784
